Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,61.728,-14.386,0.0,top
C2,100n,C_0402_1005Metric,30.9,-8.15,180.0,top
C3,100n,C_0402_1005Metric,34.68,-6.85,0.0,top
C4,1u,C_0402_1005Metric,25.55,-10.3,90.0,top
C5,100n,C_0402_1005Metric,24.4,-10.3,90.0,top
R1,10k,R_0402_1005Metric,11.055,-2.956,90.0,top
R2,10k,R_0402_1005Metric,8.515,-2.956,-90.0,top
R3,10k,R_0402_1005Metric,25.1,-14.8,90.0,top
R4,10k,R_0402_1005Metric,25.1,-18.0,-90.0,top
U1,SHT30-DIS-B10KS,DFN-8_L2.5-W2.5-P0.50-BL-EP,62.109,-12.1,90.0,top
U2,LSM6DS3TR-C,LGA-14_L3.0-W2.5-P0.50-TL,33.720002,-8.899998,180.0,top
